response,context
"Come on, I got a surprise for you.  Come on, hurry up.","[{""text"": ""What, Rick? What\u2019s going on?"", ""speaker"": ""Morty""}, {""text"": ""I got a surprise for you, Morty."", ""speaker"": ""Rick""}, {""text"": ""It's the middle of the night. What are you talking about?"", ""speaker"": ""Morty""}]"
"We gotta go, gotta get outta here, come on. Got a surprise for you Morty.","[{""text"": ""It's the middle of the night. What are you talking about?"", ""speaker"": ""Morty""}, {""text"": ""Come on, I got a surprise for you.  Come on, hurry up."", ""speaker"": ""Rick""}, {""text"": ""Ow! Ow! You're tugging me too hard!"", ""speaker"": ""Morty""}]"
"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","[{""text"": ""Come on, I got a surprise for you.  Come on, hurry up."", ""speaker"": ""Rick""}, {""text"": ""Ow! Ow! You're tugging me too hard!"", ""speaker"": ""Morty""}, {""text"": ""We gotta go, gotta get outta here, come on. Got a surprise for you Morty."", ""speaker"": ""Rick""}]"
"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","[{""text"": ""We gotta go, gotta get outta here, come on. Got a surprise for you Morty."", ""speaker"": ""Rick""}, {""text"": ""What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage."", ""speaker"": ""Rick""}, {""text"": ""Yeah, Rick... I-it's great. Is this the surprise?"", ""speaker"": ""Morty""}]"
"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.","[{""text"": ""Yeah, Rick... I-it's great. Is this the surprise?"", ""speaker"": ""Morty""}, {""text"": ""Morty. I had to... I had to do it. I had\u2014 I had to\u2014 I had to make a bomb, Morty. I had to create a bomb."", ""speaker"": ""Rick""}, {""text"": ""What?! A bomb?!"", ""speaker"": ""Morty""}]"
"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.","[{""text"": ""What?! A bomb?!"", ""speaker"": ""Morty""}, {""text"": ""We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start."", ""speaker"": ""Rick""}, {""text"": ""T-t-that's absolutely crazy!"", ""speaker"": ""Morty""}]"
"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.","[{""text"": ""T-t-that's absolutely crazy!"", ""speaker"": ""Morty""}, {""text"": ""Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica."", ""speaker"": ""Rick""}, {""text"": ""Jessica? From my math class?"", ""speaker"": ""Morty""}]"
And Jessica's gonna be Eve.,"[{""text"": ""Jessica? From my math class?"", ""speaker"": ""Morty""}, {""text"": ""When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam."", ""speaker"": ""Rick""}, {""text"": ""Ohh..."", ""speaker"": ""Morty""}]"
"And so that's the surprise, Morty.","[{""text"": ""Ohh..."", ""speaker"": ""Morty""}, {""text"": ""And Jessica's gonna be Eve."", ""speaker"": ""Rick""}, {""text"": ""Whhhh-wha?"", ""speaker"": ""Morty""}]"
"I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","[{""text"": ""Whhhh-wha?"", ""speaker"": ""Morty""}, {""text"": ""And so that's the surprise, Morty."", ""speaker"": ""Rick""}, {""text"": ""No, you can't!  Jessica doesn't even know I exist! But\u2014but, but forget about that, because you can't blow up humanity!"", ""speaker"": ""Morty""}]"
