response,context_0,speaker_0,context_1,speaker_1,context_2,speaker_2,context_3,speaker_3,context_4,speaker_4,context_5,speaker_5,context_6,speaker_6
Your idiot dog!,What's wrong?,Morty,"Oh, my God.",Summer,Are you kidding me?! Come on!,Jerry,Outside?,Jerry,What? Why are you looking at me? You want to go outside? Outside?,Jerry,"I'm sorry, Morty. It's a bummer. In reality, you're as dumb as they come and I needed those seeds real bad, and I had to give them up just to get your parents off my back, so now we're gonna have to go get more adventures.  And then we're gonna go on even more adventures after that, Morty and you're gonna keep your mouth shut about it, Morty, because the world is full of idiots that don't understand what's important, and they'll tear us apart, Morty but if you stick with me, I'm gonna accomplish great things, Morty, and you're gonna be part of them, and together, we're gonna run around, Morty. We're gonna do all kinds of wonderful things, Morty. Just you and me, Morty. The outside world is our enemy, Morty. We're the only friends we've got, Morty. It's just Rick and Morty. Rick and Morty and their adventures, Morty. Rick and Morty forever and forever. Morty's things. Me and Rick and Morty running around, and Rick and Morty time. All day long, forever. All a hundred days. Rick and Morty forever 100 times. Over and over, rickandmortyadventures.com. All 100 years. Every minute, rickandmorty.com.",Rick,"Ohh, man.  Oh, geez! Ohh.",Morty
"Oh, Rick! I-Is that the Vindibeacon? We're being called to assemble by the Vindicators!","Great. Next time I need a species sterilized, who's gonna do it for me? You?",Rick,Then why aren't we killing them?!,Morty,"Don't let any of those things get away, Morty. If their DNA gets into Earth's food chain, our entire species could be sterilized.",Rick,"That, Morty, is why you don't go to therapy.",Rick,"Who? Who was that, Rick?",Morty,Jaguar!,Rick,"Oh, geez, Rick, I-I-I don't want to die!",Morty
Woohoo! Whoo! Whoo!,"Yes, oh, yes, yes!",Morty,Thanks to Cold Stone Creamery.,Jerry,"Jerry, this was the most romantic weekend I've ever had.",Beth,I need five minutes.,Beth,I'm looking at her. Thanks for F.D.'ing me up like that.,Jerry,But the top deer surgeon...,Beth,There is no helicopter and there is no Cervine Institute.,Jerry
"Morty, are you getting sick?  I told you not to practice-kiss the living room pillow. The dog sleeps on it.","Oh my God, his head is in his food. I'm going to puke.",Summer,I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer?,Jerry,Um...,Morty,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo—",Rick,It was?,Morty,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive.",Rick,"Oh, thank god.",Morty
What?!,"Wait, wait, wait! Come on, h-hold on a second!",Rick,"Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway.",Ice-T,Who would take a lobster to see Iron Man 3?,Ice-T,"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”",Ice-T,"Oh yes, yes! Rise to the giant head! You are free to be free!",Summer,"We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise.",Principal Vagina,Sure! Let’s go to the Ascension. Wh-wh-what is it?,Jerry
Can the Pope’s dick fit through a donut?,Oh my God! C-c-can you fly a Blackhawk?,Morty,"It won’t matter how schwifty you get, Morty. The General’s got nukes set to launch halfway through Earth’s song!",President,"Sir, I need to get to the stage and help Rick get schwifty!",Morty,This is Bluebird. Code tango-niner-alpha. Abort launch. Abort! Hello?  He’s blocked me out.,President,Hello? Is anybody here?  Mr. President!,Morty,I AM a baby! I’m a baby NOW!,Jerry,You’re going to be ok!  You will come back as babies!,Summer
Wow. Ugh.,"Okay, let's open things up to the whole family, and let me ask this. Why do we think Grandpa turned himself into a pickle?",Dr. Wong,"Oh, Jesus Christ, one of these. No, my father has never turned himself into a pickle before. He's unpredictable and eccentric. The whole family is. Speaking of which...",Beth,The kind that wasn't designed to attack or hurt you in any way.,Dr. Wong,"What? No, what kind of question is that?",Beth,Does Grandpa turn himself into a pickle a lot?,Dr. Wong,"Morty, Mom's talking. I'm sorry, I suppose that's a good segue into our little discipline cases here.",Beth,He turned himself into a pickle.,Morty
"Ahem, Horse heart surgeon.","Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?",Beth,"Well, maybe you're right.",Jerry,"Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend.",Beth,"Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies.",Jerry,"It's fine, Davin.",Beth,"I told you I was ordering you something for Valentine's Day. More importantly, your father is a horrible influence on our son.",Jerry,"I am not putting my father in a home! He just came back into my life, and you want to grab him and stuff him under a mattress like last month's Victoria's Secret?",Beth
"Pshhhh. Man, watch me. Good luck, Rick.","Take it from me, Ice.  You can’t just  float around space not caring about stuff forever.",Rick,"My story begins at the dawn of time in the far away realm of Alphabetrium. There, every being is a letter of the alphabet. But I was frozen and exiled to the cosmos by my elders as punishment for not caring enough about anything. Earth is just one of the many stops on my lifelong journey with no destination. So you better believe I don’t care if it blows up! Cause I’ll just be ice, floatin’ through space, like a comet!",Ice-T,What the fuck? You can turn into ice?,Rick,"Yo, this is why.",Ice-T,What? Why not?,Rick,"Pfff. I ain’t worried about no Earth blowin’ up, man.",Ice-T,"Ice, I don’t want to be a negative Nelly or anything, but  if Morty doesn’t come back with my portal gun and I eat it out there, it’s, uh, kind of your problem too.",Rick
"I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?",The glarp zone is for flarping and unglarping only.,Announcer,The glarp zone is for flarping and unglarping only.,Announcer,We had a little incident. A student was frozen to death.  And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them.,Principal Vagina,What kind of God lets this happen?,Summer,Summer?,Beth,"Yeah, see, I thought something was fishy there, because it's usually Morty's grandpa that's taking him out of school.",Principal Vagina,"Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?",Jerry
Why is there a crib in here?,It doesn’t matter.  Nothing’s wrong with putting your faith in a Morty. You just gotta pick the right one.,Cop Morty,You were right…  Everything I learned in the academy was--,Cop Rick,"Shh, it’s okay, you’re okay.",Cop Morty,"He stabbed me! He got me bad, Morty.",Cop Rick,Jesus!,Cop Morty,"It’s okay, Morty.",Cop Rick,Guess his math was off. Search the place.,Cop Morty
"Sort of. I just took a long look at myself, and I don't think this science thing is gonna pay off.","A different kind of Rick, I guess.",Young Rick,"Eh, pass.",Young Rick,Sounds lonely.,Young Rick,That's my sister. This used to be my home.,Morty,"What is this place? And what's with ""Hunger Games"" Summer?",Summer,"Y-You want to see what a hero Rick is? I-I'll bring you somewhere, Summer. Um-",Morty,I don't know yet. I'll make it up as I go. That's what Grandpa Rick does. That's what heroes do.,Summer
"Time to go another dream deep, Morty!","Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.",Summer,"It's Summer! Aw, geez.",Morty,"Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.",Rick,Ohh! Oh! Gross! Gross!,Morty,"Hey, there, stranger. What do you think of these things?",Summer,Whoa!,Morty,"No, I'm okay.",Morty
"Yeah, well I don't know where you expect me to think you got that crystal over there, but the only way you dumb ass, assin' ass asses could ever have one, is if it was stolen.",Time prison?,Summer,"Well since you're goin' to time prison, I'd say you can keep em on forever.",Testicle Monster A,How long exactly do we have to wear these things? They're really embarassing.,Rick,"Yeah, now keep those collars on so you don't break your weak ass time again.",Testicle Monster A,"Yes no more cats, no more cats, oh you did it, you fixed it.",Morty,"Yes, we're back to our own time.",Summer,"Yes, we're back, problem solved.",Rick
Jessica.,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two.",Mr. Goldenfold,"Alright, now, everybody get settled. Get away from the windows!",Mr. Goldenfold,What? For real?,Jerry,"Oh, dad…",Beth,"Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.",Rick,"Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?",Jerry,"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.",Rick
"All right, let's go.",You don't know m-,Mrs. Pancakes,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!",Rick,"Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!",Morty,"Hey, you don't know me!",Mrs. Pancakes,"Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!",Rick,AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!,Morty,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!,Morty
"Yeah, I guess.",We all do.,Supernova,You two make quite a team.,Alan,Thank you.,Million Ants,Nice shot.,Alan,That's a three-pointer!,Drunk Rick,"Man, I am really getting high-roaded today.",Rick,"Too many, Rick! Too many!",Morty
Guys!  I've figured it out.,"Alan, I'm not proud of what's happening here, but if you keep coming at me, there's gonna be another passenger on that ghost train.",Rick,I told you not to invite this mummified motherfucker back!,Alan,"And because, like I said, I don't remember last night.",Rick,Because my epidermis is laced with a nanofiber defense mesh.,Rick,Give me one good reason why I shouldn't crush your windpipe!,Alan,"Okay, this... this is triggering me. I need space. I-I need SPACE! FROM THIS!",Vance,"Okay, ouch, but...",Morty
Me too. How long have you all been eating poop?,Temporarily. By order of the school.,Beth,"Oh, the Smith family, minus a dad. You're patients of Dr. Wong, too?",Mr. Goldenfold,"It's nobody's choice to be here, you knobs. The family was told to get counseling by your principal, even though it's not the family that was huffing pottery glaze in the art room and desk wetting in history class.",Beth,"Yeah, and what's courageous about eating a hot dog?",Morty,How is this even family therapy if Dad's not invited and Grandpa won't come?,Summer,Yes!,Pickle Rick,"Aah! Come on! Come on, motherfucker! Come on!",Pickle Rick
